Year,GEO,Age.group,Sex,Income.source,VALUE
2000,Canada,Total age group,Females,Total income,22800
2001,Canada,Total age group,Females,Total income,23700
2002,Canada,Total age group,Females,Total income,23300
2003,Canada,Total age group,Females,Total income,23500
2004,Canada,Total age group,Females,Total income,23800
2005,Canada,Total age group,Females,Total income,24400
2006,Canada,Total age group,Females,Total income,24900
2007,Canada,Total age group,Females,Total income,25800
2008,Canada,Total age group,Females,Total income,25800
2009,Canada,Total age group,Females,Total income,26600
2010,Canada,Total age group,Females,Total income,26400
2011,Canada,Total age group,Females,Total income,27000
2012,Canada,Total age group,Females,Total income,27400
2013,Canada,Total age group,Females,Total income,28300
2014,Canada,Total age group,Females,Total income,28300
2015,Canada,Total age group,Females,Total income,28700
2016,Canada,Total age group,Females,Total income,29300
2017,Canada,Total age group,Females,Total income,30100
2018,Canada,Total age group,Females,Total income,30800
1976,Canada,Total age group,Females,Market income,18000
1977,Canada,Total age group,Females,Market income,19400
1978,Canada,Total age group,Females,Market income,19000
1979,Canada,Total age group,Females,Market income,19000
1980,Canada,Total age group,Females,Market income,18500
1981,Canada,Total age group,Females,Market income,19600
1982,Canada,Total age group,Females,Market income,18700
1983,Canada,Total age group,Females,Market income,17400
1984,Canada,Total age group,Females,Market income,18400
1985,Canada,Total age group,Females,Market income,19100
1986,Canada,Total age group,Females,Market income,19700
1987,Canada,Total age group,Females,Market income,19500
1988,Canada,Total age group,Females,Market income,20600
1989,Canada,Total age group,Females,Market income,22200
1990,Canada,Total age group,Females,Market income,20400
1991,Canada,Total age group,Females,Market income,19400
1992,Canada,Total age group,Females,Market income,19200
1993,Canada,Total age group,Females,Market income,19300
1994,Canada,Total age group,Females,Market income,19400
1995,Canada,Total age group,Females,Market income,19800
1996,Canada,Total age group,Females,Market income,19500
1997,Canada,Total age group,Females,Market income,20100
1998,Canada,Total age group,Females,Market income,20000
1999,Canada,Total age group,Females,Market income,20700
2000,Canada,Total age group,Females,Market income,21200
2001,Canada,Total age group,Females,Market income,21500
2002,Canada,Total age group,Females,Market income,21000
2003,Canada,Total age group,Females,Market income,21200
2004,Canada,Total age group,Females,Market income,21400
2005,Canada,Total age group,Females,Market income,22100
2006,Canada,Total age group,Females,Market income,22500
2007,Canada,Total age group,Females,Market income,23700
2008,Canada,Total age group,Females,Market income,23400
2009,Canada,Total age group,Females,Market income,23900
2010,Canada,Total age group,Females,Market income,24300
2011,Canada,Total age group,Females,Market income,24200
2012,Canada,Total age group,Females,Market income,24700
2013,Canada,Total age group,Females,Market income,26100
2014,Canada,Total age group,Females,Market income,26500
2015,Canada,Total age group,Females,Market income,26700
2016,Canada,Total age group,Females,Market income,26600
2017,Canada,Total age group,Females,Market income,26600
2018,Canada,Total age group,Females,Market income,28100
1976,Canada,Total age group,Females,Employment income,21400
1977,Canada,Total age group,Females,Employment income,22500
1978,Canada,Total age group,Females,Employment income,22600
1979,Canada,Total age group,Females,Employment income,22600
1980,Canada,Total age group,Females,Employment income,22100
1981,Canada,Total age group,Females,Employment income,22600
1982,Canada,Total age group,Females,Employment income,21700
1983,Canada,Total age group,Females,Employment income,20700
1984,Canada,Total age group,Females,Employment income,21900
1985,Canada,Total age group,Females,Employment income,21600
1986,Canada,Total age group,Females,Employment income,22900
1987,Canada,Total age group,Females,Employment income,23100
1988,Canada,Total age group,Females,Employment income,23700
1989,Canada,Total age group,Females,Employment income,25300
1990,Canada,Total age group,Females,Employment income,23100
1991,Canada,Total age group,Females,Employment income,22900
1992,Canada,Total age group,Females,Employment income,22600
1993,Canada,Total age group,Females,Employment income,23400
1994,Canada,Total age group,Females,Employment income,23300
1995,Canada,Total age group,Females,Employment income,23400
1996,Canada,Total age group,Females,Employment income,23300
1997,Canada,Total age group,Females,Employment income,23600
1998,Canada,Total age group,Females,Employment income,24300
1999,Canada,Total age group,Females,Employment income,24600
2000,Canada,Total age group,Females,Employment income,24700
2001,Canada,Total age group,Females,Employment income,24900
2002,Canada,Total age group,Females,Employment income,24600
2003,Canada,Total age group,Females,Employment income,24800
2004,Canada,Total age group,Females,Employment income,24800
2005,Canada,Total age group,Females,Employment income,25200
2006,Canada,Total age group,Females,Employment income,25700
2007,Canada,Total age group,Females,Employment income,26400
2008,Canada,Total age group,Females,Employment income,26600
2009,Canada,Total age group,Females,Employment income,27100
2010,Canada,Total age group,Females,Employment income,27300
2011,Canada,Total age group,Females,Employment income,27100
2012,Canada,Total age group,Females,Employment income,27500
2013,Canada,Total age group,Females,Employment income,28800
2014,Canada,Total age group,Females,Employment income,28900
2015,Canada,Total age group,Females,Employment income,28800
2016,Canada,Total age group,Females,Employment income,28700
2017,Canada,Total age group,Females,Employment income,29200
2018,Canada,Total age group,Females,Employment income,29900
1976,Canada,Total age group,Females,"Wages, salaries and commissions",21900
1977,Canada,Total age group,Females,"Wages, salaries and commissions",22900
1978,Canada,Total age group,Females,"Wages, salaries and commissions",23000
1979,Canada,Total age group,Females,"Wages, salaries and commissions",23100
1980,Canada,Total age group,Females,"Wages, salaries and commissions",22700
1981,Canada,Total age group,Females,"Wages, salaries and commissions",23100
1982,Canada,Total age group,Females,"Wages, salaries and commissions",22100
1983,Canada,Total age group,Females,"Wages, salaries and commissions",21700
1984,Canada,Total age group,Females,"Wages, salaries and commissions",22200
1985,Canada,Total age group,Females,"Wages, salaries and commissions",22700
1986,Canada,Total age group,Females,"Wages, salaries and commissions",23600
1987,Canada,Total age group,Females,"Wages, salaries and commissions",23400
1988,Canada,Total age group,Females,"Wages, salaries and commissions",24400
1989,Canada,Total age group,Females,"Wages, salaries and commissions",25900
1990,Canada,Total age group,Females,"Wages, salaries and commissions",23800
1991,Canada,Total age group,Females,"Wages, salaries and commissions",23800
1992,Canada,Total age group,Females,"Wages, salaries and commissions",23800
1993,Canada,Total age group,Females,"Wages, salaries and commissions",24100
1994,Canada,Total age group,Females,"Wages, salaries and commissions",24200
1995,Canada,Total age group,Females,"Wages, salaries and commissions",24400
1996,Canada,Total age group,Females,"Wages, salaries and commissions",24600
1997,Canada,Total age group,Females,"Wages, salaries and commissions",24600
1998,Canada,Total age group,Females,"Wages, salaries and commissions",25500
1999,Canada,Total age group,Females,"Wages, salaries and commissions",25800
2000,Canada,Total age group,Females,"Wages, salaries and commissions",25700
2001,Canada,Total age group,Females,"Wages, salaries and commissions",25900
2002,Canada,Total age group,Females,"Wages, salaries and commissions",25400
2003,Canada,Total age group,Females,"Wages, salaries and commissions",25600
2004,Canada,Total age group,Females,"Wages, salaries and commissions",25500
2005,Canada,Total age group,Females,"Wages, salaries and commissions",26400
2006,Canada,Total age group,Females,"Wages, salaries and commissions",26800
2007,Canada,Total age group,Females,"Wages, salaries and commissions",27800
2008,Canada,Total age group,Females,"Wages, salaries and commissions",27800
2009,Canada,Total age group,Females,"Wages, salaries and commissions",28900
2010,Canada,Total age group,Females,"Wages, salaries and commissions",28800
2011,Canada,Total age group,Females,"Wages, salaries and commissions",28900
2012,Canada,Total age group,Females,"Wages, salaries and commissions",28800
2013,Canada,Total age group,Females,"Wages, salaries and commissions",30100
2014,Canada,Total age group,Females,"Wages, salaries and commissions",30200
2015,Canada,Total age group,Females,"Wages, salaries and commissions",30600
2016,Canada,Total age group,Females,"Wages, salaries and commissions",30500
2017,Canada,Total age group,Females,"Wages, salaries and commissions",30800
2018,Canada,Total age group,Females,"Wages, salaries and commissions",31300
1976,Canada,Total age group,Females,Self-employment income,4300
1977,Canada,Total age group,Females,Self-employment income,4400
1978,Canada,Total age group,Females,Self-employment income,3600
1979,Canada,Total age group,Females,Self-employment income,5400
1980,Canada,Total age group,Females,Self-employment income,3400
1981,Canada,Total age group,Females,Self-employment income,3000
1982,Canada,Total age group,Females,Self-employment income,4000
1983,Canada,Total age group,Females,Self-employment income,3400
1984,Canada,Total age group,Females,Self-employment income,4200
1985,Canada,Total age group,Females,Self-employment income,4200
1986,Canada,Total age group,Females,Self-employment income,5000
1987,Canada,Total age group,Females,Self-employment income,6800
1988,Canada,Total age group,Females,Self-employment income,6700
1989,Canada,Total age group,Females,Self-employment income,7000
1990,Canada,Total age group,Females,Self-employment income,6900
1991,Canada,Total age group,Females,Self-employment income,7300
1992,Canada,Total age group,Females,Self-employment income,6400
1993,Canada,Total age group,Females,Self-employment income,7900
1994,Canada,Total age group,Females,Self-employment income,7500
1995,Canada,Total age group,Females,Self-employment income,7500
